time,price,magnetisation,return
217,0.970835,-0.060000,-0.291942
218,0.973168,-0.057600,0.868747
219,0.970835,-0.060000,-0.872287
220,0.968508,-0.062400,-0.872287
221,0.970835,-0.060000,0.868747
222,0.966959,-0.064000,-1.452634
223,0.972389,-0.058400,2.029438
224,0.971612,-0.059200,-0.291942
225,0.969283,-0.061600,-0.872287
226,0.971612,-0.059200,0.868747
227,0.972389,-0.058400,0.288402
228,0.970058,-0.060800,-0.872287
229,0.966959,-0.064000,-1.162460
230,0.963870,-0.067200,-1.162458
231,0.966959,-0.064000,1.158918
232,0.967733,-0.063200,0.288405
233,0.969283,-0.061600,0.578574
234,0.965413,-0.065600,-1.452633
235,0.964641,-0.066400,-0.291942
236,0.962329,-0.068800,-0.872289
237,0.957721,-0.073600,-1.742804
238,0.953898,-0.077600,-1.452633
239,0.947054,-0.084800,-2.613320
240,0.945540,-0.086400,-0.582117
241,0.951611,-0.080000,2.319611
242,0.950090,-0.081600,-0.582117
243,0.953135,-0.078400,1.158920
244,0.959254,-0.072000,2.319611
245,0.960790,-0.070400,0.578574
246,0.964641,-0.066400,1.449092
247,0.966959,-0.064000,0.868746
248,0.972389,-0.058400,2.029438
249,0.969283,-0.061600,-1.162459
250,0.972389,-0.058400,1.158919
251,0.964641,-0.066400,-2.903494
252,0.969283,-0.061600,1.739264
253,0.971612,-0.059200,0.868747
254,0.974726,-0.056000,1.158919
255,0.969283,-0.061600,-2.032976
256,0.957721,-0.073600,-4.354357
257,0.960791,-0.070400,1.158920
258,0.963099,-0.068000,0.868746
259,0.964641,-0.066400,0.578577
260,0.961559,-0.069600,-1.162460
261,0.955425,-0.076000,-2.323148
262,0.948571,-0.083200,-2.613323
263,0.947812,-0.084000,-0.291942
264,0.947054,-0.084800,-0.291942
265,0.947812,-0.084000,0.288402
266,0.950850,-0.080800,1.158920
267,0.946297,-0.085600,-1.742807
268,0.948571,-0.083200,0.868748
269,0.950090,-0.081600,0.578574
270,0.946297,-0.085600,-1.452633
271,0.947812,-0.084000,0.578577
272,0.950090,-0.081600,0.868746
273,0.944784,-0.087200,-2.032976
274,0.944029,-0.088000,-0.291942
275,0.945540,-0.086400,0.578574
276,0.941766,-0.090400,-1.452633
277,0.944784,-0.087200,1.158920
278,0.946297,-0.085600,0.578574
