time,index
4922,19182.7109
4923,18954.6309
4924,19008.3008
4925,19250.7891
4926,19265.3203
4927,19260.3008
4928,19204.0098
4929,18639.5293
4930,18780.9297
4931,18960.4805
4932,18690.8203
4933,18702.7305
4934,18944.1895
4935,19026.3594
4936,18842.9902
4937,18739.9902
4938,18924.6602
4939,18907.1699
4940,18718.1895
4941,18919.4004
4942,19110.6504
4943,19192.9102
4944,18964.5508
4945,19240.1191
4946,19222.8398
4947,19320.5195
4948,19725.7305
4949,20001.9102
4950,19964.7207
4951,20310.1797
4952,20413.3906
4953,20025.5801
4954,20211.2793
4955,20029.6602
4956,19898.0801
4957,19568.3398
4958,19385.3691
4959,19613.4102
4960,20068.5606
4961,20027.9492
4962,20064.5703
4963,20277.5098
4964,20327.7207
4965,20772.2207
4966,20769.6992
4967,20821.0508
4968,20669.8301
4969,20281.1309
4970,20236.6797
4971,20460.4609
4972,20106.4199
4973,20430.1602
4974,20563.6797
4975,20455.6191
4976,20655.1992
4977,20679.6895
4978,20735.0508
4979,20677.6602
4980,20593.4102
4981,20132.2500
4982,20209.9102
4983,20538.4199
4984,20567.9102
4985,20567.9102
4986,20651.4199
4987,20809.2305
4988,20711.6504
4989,20507.9492
4990,20147.8691
4991,19651.5098
4992,19346.5996
4993,19442.0098
4994,18664.8809
4995,19058.5606
4996,18918.6406
4997,19175.1699
4998,19134.8809
4999,19442.4199
5000,19333.1406
5001,18836.9297
5002,18969.4395
5003,18953.5000
5004,19266.7402
5005,19356.9004
5006,19516.4102
5007,19690.2500
5008,19692.6406
5009,19765.8496
5010,19706.7891
5011,19553.8691
5012,19821.7793
5013,19800.9297
5014,19809.6992
5015,20002.6992
5016,20209.7109
5017,20347.8691
5018,20449.4297
5019,20380.2109
5020,20340.9707
5021,20757.5293
5022,20788.6094
5023,20777.0898
5024,20299.7109
5025,20566.5898
5026,20556.5703
5027,20572.8008
5028,20536.7793
5029,20667.2891
5030,20526.5000
5031,20318.9805
5032,20318.9805
5033,20388.4902
5034,20681.5801
5035,20841.0801
5036,20896.6406
5037,20706.3496
5038,20844.7793
5039,20746.2695
5040,20468.2109
5041,20979.2402
5042,20868.1504
5043,20937.2598
5044,20994.6094
5045,20904.8398
5046,20927.7500
5047,20843.9199
5048,20798.9707
5049,20798.9707
5050,20520.6602
5051,20529.7598
5052,20469.5898
5053,20293.7598
5054,20634.4707
5055,20602.8691
5056,20729.5898
5057,20842.1504
5058,20818.6094
5059,20800.1602
5060,20509.1504
5061,20615.4902
5062,20636.3906
5063,20578.7500
5064,20867.2598
5065,21017.0508
5066,21582.8906
5067,21582.8906
5068,21684.6699
5069,21954.6699
5070,21999.9102
5071,21822.3496
5072,21803.5703
5073,21705.5606
5074,21938.2207
5075,21772.7305
5076,22151.1406
5077,22218.5508
5078,22252.9902
5079,22531.7402
5080,22817.4297
5081,22885.8398
5082,22607.0195
5083,22809.0195
5084,23099.2891
5085,22953.9395
5086,23057.3008
5087,22841.9199
5088,23016.1992
5089,23291.9004
5090,23365.5606
5091,23472.8809
5092,23362.1797
5093,23211.6895
5094,22570.4102
5095,22739.9004
5096,23184.9395
5097,22455.3594
5098,22443.2500
5099,22538.4395
5100,21936.7305
5101,21907.9902
5102,22536.6699
5103,22439.3594
5104,21792.7109
5105,21891.0996
5106,22007.3203
5107,21375.7207
5108,20672.3906
5109,20387.1309
5110,21595.6309
5111,21729.3496
5112,22346.8809
5113,22966.9707
5114,22921.8906
5115,23577.7305
5116,23363.7598
5117,23020.5996
5118,23484.5391
5119,23984.1406
5120,23904.0898
5121,23886.0703
5122,24069.1699
5123,24050.4004
